2013-01-07 20:40:23 startup archives install
2013-01-07 20:40:23 install base-files <none> 6.5ubuntu6
2013-01-07 20:40:23 status half-installed base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 install base-passwd <none> 3.5.24
2013-01-07 20:40:24 status half-installed base-passwd 3.5.24
2013-01-07 20:40:24 status unpacked base-passwd 3.5.24
2013-01-07 20:40:24 status unpacked base-passwd 3.5.24
2013-01-07 20:40:24 configure base-passwd 3.5.24 3.5.24
2013-01-07 20:40:24 status unpacked base-passwd 3.5.24
2013-01-07 20:40:24 status half-configured base-passwd 3.5.24
2013-01-07 20:40:24 status installed base-passwd 3.5.24
2013-01-07 20:40:24 configure base-files 6.5ubuntu6 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:24 status half-configured base-files 6.5ubuntu6
2013-01-07 20:40:24 status installed base-files 6.5ubuntu6
2013-01-07 20:40:24 startup archives install
2013-01-07 20:40:24 upgrade dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2013-01-07 20:40:24 status half-configured dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:24 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:24 status half-installed dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status half-installed dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 configure dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status half-configured dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 status installed dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:25 startup archives install
2013-01-07 20:40:25 install libc6 <none> 2.15-0ubuntu10
2013-01-07 20:40:25 status half-installed libc6 2.15-0ubuntu10
2013-01-07 20:40:26 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:26 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:26 configure libc6 2.15-0ubuntu10 2.15-0ubuntu10
2013-01-07 20:40:26 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:26 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:26 status half-configured libc6 2.15-0ubuntu10
2013-01-07 20:40:26 status installed libc6 2.15-0ubuntu10
2013-01-07 20:40:26 startup archives install
2013-01-07 20:40:26 install perl-base <none> 5.14.2-6ubuntu2
2013-01-07 20:40:26 status half-installed perl-base 5.14.2-6ubuntu2
2013-01-07 20:40:27 status unpacked perl-base 5.14.2-6ubuntu2
2013-01-07 20:40:27 status unpacked perl-base 5.14.2-6ubuntu2
2013-01-07 20:40:27 configure perl-base 5.14.2-6ubuntu2 5.14.2-6ubuntu2
2013-01-07 20:40:27 status unpacked perl-base 5.14.2-6ubuntu2
2013-01-07 20:40:27 status half-configured perl-base 5.14.2-6ubuntu2
2013-01-07 20:40:27 status installed perl-base 5.14.2-6ubuntu2
2013-01-07 20:40:27 startup archives install
2013-01-07 20:40:27 install mawk <none> 1.3.3-17
2013-01-07 20:40:27 status half-installed mawk 1.3.3-17
2013-01-07 20:40:27 status unpacked mawk 1.3.3-17
2013-01-07 20:40:27 status unpacked mawk 1.3.3-17
2013-01-07 20:40:27 configure mawk 1.3.3-17 1.3.3-17
2013-01-07 20:40:27 status unpacked mawk 1.3.3-17
2013-01-07 20:40:27 status half-configured mawk 1.3.3-17
2013-01-07 20:40:27 status installed mawk 1.3.3-17
2013-01-07 20:40:27 startup archives install
2013-01-07 20:40:27 install debconf <none> 1.5.42ubuntu1
2013-01-07 20:40:27 status half-installed debconf 1.5.42ubuntu1
2013-01-07 20:40:28 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:28 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:28 configure debconf 1.5.42ubuntu1 1.5.42ubuntu1
2013-01-07 20:40:28 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:28 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:28 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:28 status unpacked debconf 1.5.42ubuntu1
